Term,RGB,,,,
cmp r8,"rgb(233, 188, 163)",,,,
[rdx -,"rgb(233, 187, 164)",,,,
rbx 1,"rgb(233, 186, 165)",,,,
ptr [r10,"rgb(232, 195, 157)",,,,
r8 rdx,"rgb(232, 194, 158)",,,,
ptr [r15],"rgb(232, 193, 159)",,,,
cmp r15d,"rgb(232, 192, 160)",,,,
xor rcx,"rgb(232, 191, 161)",,,,
rax +,"rgb(232, 190, 162)",,,,
0x40] rax,"rgb(232, 189, 163)",,,,
rcx [rax,"rgb(232, 188, 164)",,,,
add rdi,"rgb(232, 187, 165)",,,,
0x48] rax,"rgb(231, 195, 158)",,,,
rax rsi,"rgb(231, 194, 159)",,,,
eax 0xffffffff,"rgb(231, 193, 160)",,,,
rcx [rbx,"rgb(231, 192, 161)",,,,
rdi rdx,"rgb(231, 191, 162)",,,,
rdx r15,"rgb(231, 190, 163)",,,,
xor r10d,"rgb(231, 189, 164)",,,,
r12 r12,"rgb(231, 188, 165)",,,,
+ 3],"rgb(230, 195, 159)",,,,
rcx rsp,"rgb(230, 194, 160)",,,,
+ 0xc0],"rgb(230, 193, 161)",,,,
rax 0x1f,"rgb(230, 192, 162)",,,,
+ 0x3c],"rgb(230, 191, 163)",,,,
rsi rdx,"rgb(230, 190, 164)",,,,
xor r14d,"rgb(230, 189, 165)",,,,
rdx 0x27,"rgb(229, 195, 160)",,,,
test r12,"rgb(229, 194, 161)",,,,
+ rdx],"rgb(229, 193, 162)",,,,
+ rcx],"rgb(229, 192, 163)",,,,
add r8,"rgb(229, 191, 164)",,,,
r9 [rbp,"rgb(229, 190, 165)",,,,
ptr [r9],"rgb(228, 195, 161)",,,,
ptr [ebx,"rgb(228, 194, 162)",,,,
lea r14,"rgb(228, 193, 163)",,,,
ptr [r13],"rgb(228, 192, 164)",,,,
[edx +,"rgb(228, 191, 165)",,,,
r9 rsi,"rgb(227, 195, 162)",,,,
rax [rcx,"rgb(227, 194, 163)",,,,
0x24] 0,"rgb(227, 193, 164)",,,,
+ rax*4],"rgb(227, 192, 165)",,,,
rcx rbp,"rgb(226, 195, 163)",,,,
+ 0xc8],"rgb(226, 194, 164)",,,,
+ 0xb8],"rgb(226, 193, 165)",,,,
rdx [rax,"rgb(225, 195, 164)",,,,
0x18] 0,"rgb(225, 194, 165)",,,,
rdx 0x1000,"rgb(224, 195, 165)",,,,
0x20] eax,"rgb(235, 195, 153)",,,,
rdx 1,"rgb(235, 194, 154)",,,,
r11d dword,"rgb(235, 193, 155)",,,,
0x10] rdx,"rgb(235, 192, 156)",,,,
+ r13],"rgb(235, 191, 157)",,,,
