Term,RGB
ebx [esi+58h],"rgb(96, 185, 182)"
ebx [ecx+3Ch],"rgb(96, 184, 183)"
ebx [ecx+74h],"rgb(96, 183, 184)"
call sub_4013E5,"rgb(96, 182, 185)"
short loc_40182E,"rgb(96, 181, 186)"
eax 0FBh,"rgb(96, 180, 187)"
call sub_401D4F,"rgb(95, 188, 180)"
ecx [esi-6Ch],"rgb(95, 187, 181)"
eax 0E3h,"rgb(95, 186, 182)"
eax [edx+0E4h],"rgb(95, 185, 183)"
[esi+88h] eax,"rgb(95, 184, 184)"
ecx [eax+80h],"rgb(95, 183, 185)"
call sub_40163F,"rgb(95, 182, 186)"
eax [esi-8Ch],"rgb(95, 181, 187)"
edi [ecx+80h],"rgb(95, 180, 188)"
call sub_401ADB,"rgb(94, 189, 180)"
edx 89h,"rgb(94, 188, 181)"
[ebp+var_24] 18h,"rgb(94, 187, 182)"
ecx 35h,"rgb(94, 186, 183)"
ebx 74h,"rgb(94, 185, 184)"
ptr [edi+2BCh],"rgb(94, 184, 185)"
ptr [esi-68h],"rgb(94, 183, 186)"
eax [ecx+80h],"rgb(94, 182, 187)"
[eax+18h] esi,"rgb(94, 181, 188)"
short loc_401F23,"rgb(94, 180, 189)"
call sub_401C3A,"rgb(93, 190, 180)"
edx 22h,"rgb(93, 189, 181)"
eax [edi+0DCh],"rgb(93, 188, 182)"
[ebp+var_24] 5,"rgb(93, 187, 183)"
short loc_40228E,"rgb(93, 186, 184)"
esi [eax+48h],"rgb(93, 185, 185)"
edx 0E4h,"rgb(93, 184, 186)"
short loc_40105F,"rgb(93, 183, 187)"
[ecx+edx] eax,"rgb(93, 182, 188)"
edx 11h,"rgb(93, 181, 189)"
call sub_401A12,"rgb(93, 180, 190)"
call sub_402076,"rgb(92, 191, 180)"
edx [eax-10h],"rgb(92, 190, 181)"
edx [eax-44h],"rgb(92, 189, 182)"
ecx [ebx+44h],"rgb(92, 188, 183)"
edx 0F6h,"rgb(92, 187, 184)"
call sub_40179D,"rgb(92, 186, 185)"
ecx [edi-10h],"rgb(92, 185, 186)"
ecx [edi-28h],"rgb(92, 184, 187)"
ecx [edi-40h],"rgb(92, 183, 188)"
[ebp+var_10] 13h,"rgb(92, 182, 189)"
esi [ecx+34h],"rgb(92, 181, 190)"
short loc_4012A1,"rgb(92, 180, 191)"
short loc_4013D1,"rgb(91, 192, 180)"
short loc_4013E3,"rgb(91, 191, 181)"
short loc_401C66,"rgb(91, 190, 182)"
short loc_401CA6,"rgb(91, 189, 183)"
edx [edi+6Ch],"rgb(91, 188, 184)"
call sub_401D3E,"rgb(91, 187, 185)"
ptr [ecx-78h],"rgb(91, 186, 186)"
edx [eax-70h],"rgb(91, 185, 187)"
eax [edx+0C8h],"rgb(91, 184, 188)"
[esi+80h] ebx,"rgb(91, 183, 189)"
ebx 32h,"rgb(91, 182, 190)"
eax 0FFFFFFD4h,"rgb(91, 181, 191)"
short loc_401FEF,"rgb(91, 180, 192)"
short loc_401383,"rgb(90, 193, 180)"
short loc_40181F,"rgb(90, 192, 181)"
call sub_401555,"rgb(90, 191, 182)"
esi [edi+48h],"rgb(90, 190, 183)"
call sub_401A43,"rgb(90, 189, 184)"
ecx [edx-0A8h],"rgb(90, 188, 185)"
eax [edi+124h],"rgb(90, 187, 186)"
edx 67h,"rgb(90, 186, 187)"
short loc_402093,"rgb(90, 185, 188)"
ecx [ecx-4],"rgb(90, 184, 189)"
[esi+1Ch] edx,"rgb(90, 183, 190)"
short loc_401B1B,"rgb(90, 182, 191)"
call sub_401896,"rgb(90, 181, 192)"
esi [edi+40h],"rgb(90, 180, 193)"
edi [ebp-34h],"rgb(89, 194, 180)"
edx [edi+68h],"rgb(89, 193, 181)"
esi [edi+70h],"rgb(89, 192, 182)"
ecx [eax-20h],"rgb(89, 191, 183)"
short loc_401717,"rgb(89, 190, 184)"
call sub_401DA5,"rgb(89, 189, 185)"
edx [edi+9Ch],"rgb(89, 188, 186)"
call sub_401A0A,"rgb(89, 187, 187)"
edx [ebx+0A4h],"rgb(89, 186, 188)"
short loc_401D77,"rgb(89, 185, 189)"
eax 7Eh,"rgb(89, 184, 190)"
call sub_401D72,"rgb(89, 183, 191)"
edi [ebx+30h],"rgb(89, 182, 192)"
call ds:QueryPerformanceCounter,"rgb(89, 181, 193)"
short loc_401EF3,"rgb(89, 180, 194)"
edi [edx-14h],"rgb(88, 195, 180)"
dd 1000001h,"rgb(88, 194, 181)"
edi 7Dh,"rgb(88, 193, 182)"
edi [ecx+70h],"rgb(88, 192, 183)"
eax [ebx-28h],"rgb(88, 191, 184)"
edi [eax+78h],"rgb(88, 190, 185)"
call sub_401CF2,"rgb(88, 189, 186)"
esi [ecx+3Ch],"rgb(88, 188, 187)"
short loc_40180B,"rgb(88, 187, 188)"
short loc_401C79,"rgb(88, 186, 189)"
ebx [ecx-38h],"rgb(88, 185, 190)"
[ebp+var_10] 60h,"rgb(88, 184, 191)"
[ebp+var_C] 78h,"rgb(88, 183, 192)"
short loc_401A93,"rgb(88, 182, 193)"
edx [eax+90h],"rgb(88, 181, 194)"
ebx [edi+4Ch],"rgb(88, 180, 195)"
call sub_4010F2,"rgb(87, 196, 180)"
or [ebp-3Ch],"rgb(87, 195, 181)"
call sub_401345,"rgb(87, 194, 182)"
esi [ecx+0C0h],"rgb(87, 193, 183)"
edi 0FFh,"rgb(87, 192, 184)"
db 4,"rgb(87, 191, 185)"
[ebp-58h] esi,"rgb(87, 190, 186)"
call sub_4019C6,"rgb(87, 189, 187)"
edx 58h,"rgb(87, 188, 188)"
esi [ecx+44h],"rgb(87, 187, 189)"
esi [ecx+40h],"rgb(87, 186, 190)"
ebx [esi+0ACh],"rgb(87, 185, 191)"
ptr [ebx-1Ch],"rgb(87, 184, 192)"
[ebx+48h] eax,"rgb(87, 183, 193)"
short loc_401177,"rgb(87, 182, 194)"
edx [ecx+50h],"rgb(87, 181, 195)"
edi [ebx-44h],"rgb(87, 180, 196)"
call sub_40215C,"rgb(86, 197, 180)"
edi [ecx+0DCh],"rgb(86, 196, 181)"
esi [edx+48h],"rgb(86, 195, 182)"
eax [ecx+58h],"rgb(86, 194, 183)"
esi 60h,"rgb(86, 193, 184)"
edx [edi+7Ch],"rgb(86, 192, 185)"
esi 45h,"rgb(86, 191, 186)"
ptr [edx+200h],"rgb(86, 190, 187)"
ptr [eax+274h],"rgb(86, 189, 188)"
esi [ebx-54h],"rgb(86, 188, 189)"
edi [ecx+30h],"rgb(86, 187, 190)"
call sub_401DF6,"rgb(86, 186, 191)"
call sub_40218E,"rgb(86, 185, 192)"
call sub_401F17,"rgb(86, 184, 193)"
ebx [edi+24h],"rgb(86, 183, 194)"
short loc_4019D3,"rgb(86, 182, 195)"
short loc_4019DF,"rgb(86, 181, 196)"
ptr [ecx-28h],"rgb(86, 180, 197)"
edi 48h,"rgb(85, 198, 180)"
ebx [ecx-64h],"rgb(85, 197, 181)"
edi 78h,"rgb(85, 196, 182)"
edi [esi+0C0h],"rgb(85, 195, 183)"
eax [ecx-80h],"rgb(85, 194, 184)"
eax [ecx-48h],"rgb(85, 193, 185)"
sub [esp],"rgb(85, 192, 186)"
call sub_4015C5,"rgb(85, 191, 187)"
short loc_4012F6,"rgb(85, 190, 188)"
edi [ecx+28h],"rgb(85, 189, 189)"
edx [esi+40h],"rgb(85, 188, 190)"
ebx 52h,"rgb(85, 187, 191)"
ptr [ecx+238h],"rgb(85, 186, 192)"
short loc_401753,"rgb(85, 185, 193)"
[ebp+var_2C] 5,"rgb(85, 184, 194)"
short loc_402087,"rgb(85, 183, 195)"
short loc_40155F,"rgb(85, 182, 196)"
short loc_402330,"rgb(85, 181, 197)"
dw 5,"rgb(85, 180, 198)"
short loc_401330,"rgb(84, 199, 180)"
short loc_401312,"rgb(84, 198, 181)"
[ecx+30h] edx,"rgb(84, 197, 182)"
mov [ebx+64h],"rgb(84, 196, 183)"
call sub_401D9E,"rgb(84, 195, 184)"
short loc_4024D9,"rgb(84, 194, 185)"
and [ebp-10h],"rgb(84, 193, 186)"
short loc_401A1A,"rgb(84, 192, 187)"
edi [edx+50h],"rgb(84, 191, 188)"
call sub_4010B2,"rgb(84, 190, 189)"
[ebp-10h] 0Ch,"rgb(84, 189, 190)"
mov [eax+88h],"rgb(84, 188, 191)"
edi [ecx+38h],"rgb(84, 187, 192)"
edi [ecx+14h],"rgb(84, 186, 193)"
edi [ebx-30h],"rgb(84, 185, 194)"
call sub_401F3B,"rgb(84, 184, 195)"
eax [esi+124h],"rgb(84, 183, 196)"
short loc_401F12,"rgb(84, 182, 197)"
esi 0FFFFFFEAh,"rgb(84, 181, 198)"
short loc_4016E7,"rgb(84, 180, 199)"
edi [eax+28h],"rgb(83, 200, 180)"
short loc_4019FE,"rgb(83, 199, 181)"
ecx [esi+78h],"rgb(83, 198, 182)"
call sub_4013B1,"rgb(83, 197, 183)"
edi [ebx+44h],"rgb(83, 196, 184)"
edi [eax+40h],"rgb(83, 195, 185)"
eax 0E4h,"rgb(83, 194, 186)"
short loc_401D51,"rgb(83, 193, 187)"
ecx [edx+28h],"rgb(83, 192, 188)"
call sub_402321,"rgb(83, 191, 189)"
edx 43h,"rgb(83, 190, 190)"
[esi-8] edi,"rgb(83, 189, 191)"
[edi+14h] ebx,"rgb(83, 188, 192)"
esi 0FFFFFF9Bh,"rgb(83, 187, 193)"
ecx [edi+40h],"rgb(83, 186, 194)"
edx [ebx+34h],"rgb(83, 185, 195)"
eax 0FEh,"rgb(83, 184, 196)"
edi [ebx+68h],"rgb(83, 183, 197)"
short loc_401D9C,"rgb(83, 182, 198)"
eax 0D1h,"rgb(83, 181, 199)"
dw 9,"rgb(83, 180, 200)"
[eax+18h] edx,"rgb(82, 200, 181)"
eax [edi+98h],"rgb(82, 199, 182)"
ecx [eax+88h],"rgb(82, 198, 183)"
[ebp+var_2C] 2Dh,"rgb(82, 197, 184)"
edx 6Eh,"rgb(82, 196, 185)"
short loc_401DAA,"rgb(82, 195, 186)"
call sub_401F4F,"rgb(82, 194, 187)"
edx [ebx+4Ch],"rgb(82, 193, 188)"
ptr [ebx+25Ch],"rgb(82, 192, 189)"
[ebp+var_30] 5,"rgb(82, 191, 190)"
ptr [ebx-70h],"rgb(82, 190, 191)"
ebx [edi-18h],"rgb(82, 189, 192)"
call sub_40145F,"rgb(82, 188, 193)"
call sub_401DA7,"rgb(82, 187, 194)"
mov [esi+0B8h],"rgb(82, 186, 195)"
short loc_402528,"rgb(82, 185, 196)"
[eax+54h] ebx,"rgb(82, 184, 197)"
edx 0A8h,"rgb(82, 183, 198)"
eax [ecx+100h],"rgb(82, 182, 199)"
eax [esi-90h],"rgb(82, 181, 200)"
short loc_4016DF,"rgb(81, 200, 182)"
short loc_401881,"rgb(81, 199, 183)"
short loc_401AC2,"rgb(81, 198, 184)"
call sub_402404,"rgb(81, 197, 185)"
call sub_401CC6,"rgb(81, 196, 186)"
edi 3Ch,"rgb(81, 195, 187)"
edi [edx+14h],"rgb(81, 194, 188)"
short loc_401713,"rgb(81, 193, 189)"
edx [esi+100h],"rgb(81, 192, 190)"
short loc_401007,"rgb(81, 191, 191)"
ecx [edx-28h],"rgb(81, 190, 192)"
call sub_401EA3,"rgb(81, 189, 193)"
eax [edi+0F8h],"rgb(81, 188, 194)"
and [ebp-24h],"rgb(81, 187, 195)"
edi [edx+6Ch],"rgb(81, 186, 196)"
[esi+8] esi,"rgb(81, 185, 197)"
call sub_401376,"rgb(81, 184, 198)"
call sub_401723,"rgb(81, 183, 199)"
call sub_40228B,"rgb(81, 182, 200)"
ebx [edx+48h],"rgb(80, 200, 183)"
ebx [edi+7Ch],"rgb(80, 199, 184)"
ecx 0D1h,"rgb(80, 198, 185)"
short loc_402333,"rgb(80, 197, 186)"
eax [edi+0ACh],"rgb(80, 196, 187)"
call sub_40148A,"rgb(80, 195, 188)"
call sub_401547,"rgb(80, 194, 189)"
ebx 27h,"rgb(80, 193, 190)"
eax 5000h,"rgb(80, 192, 191)"
and [ebp-18h],"rgb(80, 191, 192)"
eax 0E7h,"rgb(80, 190, 193)"
short loc_401793,"rgb(80, 189, 194)"
[ebp+var_C] 18h,"rgb(80, 188, 195)"
call sub_401791,"rgb(80, 187, 196)"
call sub_401773,"rgb(80, 186, 197)"
eax 9Fh,"rgb(80, 185, 198)"
call sub_401477,"rgb(80, 184, 199)"
call sub_4011D2,"rgb(80, 183, 200)"
call sub_401785,"rgb(79, 200, 184)"
short loc_4016FB,"rgb(79, 199, 185)"
eax 0BEh,"rgb(79, 198, 186)"
eax 0CFh,"rgb(79, 197, 187)"
ebx [edx+50h],"rgb(79, 196, 188)"
[ebp+var_44] 2,"rgb(79, 195, 189)"
short loc_401C4A,"rgb(79, 194, 190)"
short loc_401C0F,"rgb(79, 193, 191)"
short loc_402222,"rgb(79, 192, 192)"
ecx 0FFFFFFE8h,"rgb(79, 191, 193)"
short loc_40224D,"rgb(79, 190, 194)"
eax [edi+90h],"rgb(79, 189, 195)"
short loc_4024D7,"rgb(79, 188, 196)"
short loc_4010C3,"rgb(79, 187, 197)"
ecx [esi+0C4h],"rgb(79, 186, 198)"
ecx [esi+0D4h],"rgb(79, 185, 199)"
call sub_401C55,"rgb(79, 184, 200)"
edx [ecx-0Ch],"rgb(78, 200, 185)"
rva aKernel32_dll,"rgb(78, 199, 186)"
ecx 0EFh,"rgb(78, 198, 187)"
[eax] 18h,"rgb(78, 197, 188)"
dw 7Bh,"rgb(78, 196, 189)"
call sub_4010DB,"rgb(78, 195, 190)"
call sub_401FBF,"rgb(78, 194, 191)"
edi [edx-8],"rgb(78, 193, 192)"
call sub_40212F,"rgb(78, 192, 193)"
edi [edx-2Ch],"rgb(78, 191, 194)"
eax [esi-50h],"rgb(78, 190, 195)"
ebx 0FFFFFFACh,"rgb(78, 189, 196)"
[esi+6Ch] ebx,"rgb(78, 188, 197)"
edi [eax-18h],"rgb(78, 187, 198)"
db 'USER32.dll',"rgb(78, 186, 199)"
[ebp+var_8] 0Eh,"rgb(78, 185, 200)"
short loc_402034,"rgb(77, 200, 186)"
short loc_40206F,"rgb(77, 199, 187)"
edi [eax+70h],"rgb(77, 198, 188)"
edx 70h,"rgb(77, 197, 189)"
ecx [edi-0A8h],"rgb(77, 196, 190)"
call sub_401561,"rgb(77, 195, 191)"
[ebx+38h] eax,"rgb(77, 194, 192)"
dd 30h,"rgb(77, 193, 193)"
dd 10100h,"rgb(77, 192, 194)"
dl 0Fh,"rgb(77, 191, 195)"
eax [esp-8+arg_4],"rgb(77, 190, 196)"
eax [esi+144h],"rgb(77, 189, 197)"
[ebp+var_10] 55h,"rgb(77, 188, 198)"
edx 33h,"rgb(77, 187, 199)"
edi [eax-1Ch],"rgb(77, 186, 200)"
[esi+78h] ebx,"rgb(76, 200, 187)"
short loc_401FAB,"rgb(76, 199, 188)"
[eax+48h] ecx,"rgb(76, 198, 189)"
[eax+44h] ecx,"rgb(76, 197, 190)"
eax 0B1h,"rgb(76, 196, 191)"
call sub_401283,"rgb(76, 195, 192)"
add [esi+10h],"rgb(76, 194, 193)"
ecx [eax+0A4h],"rgb(76, 193, 194)"
short loc_401678,"rgb(76, 192, 195)"
call sub_40177E,"rgb(76, 191, 196)"
call sub_401799,"rgb(76, 190, 197)"
call sub_401389,"rgb(76, 189, 198)"
short loc_401A47,"rgb(76, 188, 199)"
esi 58h,"rgb(76, 187, 200)"
short loc_4013CB,"rgb(75, 200, 188)"
rva aUser32_dll,"rgb(75, 199, 189)"
call sub_401AD6,"rgb(75, 198, 190)"
[ebp-14h] 8,"rgb(75, 197, 191)"
edx [ebx-38h],"rgb(75, 196, 192)"
eax [esi+0ECh],"rgb(75, 195, 193)"
eax [edx-50h],"rgb(75, 194, 194)"
esi [edi-70h],"rgb(75, 193, 195)"
[esi+110h] eax,"rgb(75, 192, 196)"
[ebp+var_18] 26h,"rgb(75, 191, 197)"
xor [esi+5Ch],"rgb(75, 190, 198)"
xor [esi+60h],"rgb(75, 189, 199)"
esi 4Ch,"rgb(75, 188, 200)"
short loc_401F27,"rgb(74, 200, 189)"
eax [ebx+74h],"rgb(74, 199, 190)"
call sub_40235E,"rgb(74, 198, 191)"
ebx 5Eh,"rgb(74, 197, 192)"
edi [eax+edi],"rgb(74, 196, 193)"
[eax+34h] edx,"rgb(74, 195, 194)"
[esi+9Ch] edi,"rgb(74, 194, 195)"
[esi] 3,"rgb(74, 193, 196)"
edi 16h,"rgb(74, 192, 197)"
ecx 0FFFFFFFBh,"rgb(74, 191, 198)"
eax 0FAh,"rgb(74, 190, 199)"
esi [edi-6Ch],"rgb(74, 189, 200)"
ptr [edi+23Ch],"rgb(73, 200, 190)"
short loc_401DD7,"rgb(73, 199, 191)"
call sub_401C19,"rgb(73, 198, 192)"
edx [ebx+0D8h],"rgb(73, 197, 193)"
short loc_401ECA,"rgb(73, 196, 194)"
short loc_401E47,"rgb(73, 195, 195)"
short loc_401E07,"rgb(73, 194, 196)"
ptr [ecx-94h],"rgb(73, 193, 197)"
offset IsBadCodePtr,"rgb(73, 192, 198)"
edi [eax+2Ch],"rgb(73, 191, 199)"
short loc_401CEF,"rgb(73, 190, 200)"
call sub_4019D1,"rgb(72, 200, 191)"
ecx [eax+100h],"rgb(72, 199, 192)"
dw 8100h,"rgb(72, 198, 193)"
short loc_401210,"rgb(72, 197, 194)"
ebx 41h,"rgb(72, 196, 195)"
call sub_40154D,"rgb(72, 195, 196)"
call sub_402143,"rgb(72, 194, 197)"
short loc_40203F,"rgb(72, 193, 198)"
eax 0F4h,"rgb(72, 192, 199)"
xor [ebp-10h],"rgb(72, 191, 200)"
aUser32_dll db,"rgb(71, 200, 192)"
aAdvapi32_dll db,"rgb(71, 199, 193)"
aKernel32_dll db,"rgb(71, 198, 194)"
edi [esi+128h],"rgb(71, 197, 195)"
esi [ecx-24h],"rgb(71, 196, 196)"
[esi+50h] edi,"rgb(71, 195, 197)"
esi 61h,"rgb(71, 194, 198)"
short loc_401E23,"rgb(71, 193, 199)"
ecx [ebx+50h],"rgb(71, 192, 200)"
call sub_40190D,"rgb(70, 200, 193)"
[ebp+var_34] 5,"rgb(70, 199, 194)"
[ecx+20h] edx,"rgb(70, 198, 195)"
call sub_4023B2,"rgb(70, 197, 196)"
ecx [eax+0C8h],"rgb(70, 196, 197)"
edx 3Eh,"rgb(70, 195, 198)"
eax [ecx+0A4h],"rgb(70, 194, 199)"
short loc_401F37,"rgb(70, 193, 200)"
short loc_401BC9,"rgb(69, 200, 194)"
edi [ecx+0A4h],"rgb(69, 199, 195)"
edi 6Eh,"rgb(69, 198, 196)"
edx [esi+0B0h],"rgb(69, 197, 197)"
esi [edi+6Ch],"rgb(69, 196, 198)"
edi 1Ah,"rgb(69, 195, 199)"
short loc_401357,"rgb(69, 194, 200)"
edx [edi+60h],"rgb(68, 200, 195)"
eax 88h,"rgb(68, 199, 196)"
short loc_4012E0,"rgb(68, 198, 197)"
short loc_401343,"rgb(68, 197, 198)"
short loc_409032,"rgb(68, 196, 199)"
call sub_40211D,"rgb(68, 195, 200)"
[ebp+var_30] 3,"rgb(67, 200, 196)"
ebx [edi-70h],"rgb(67, 199, 197)"
ecx [ebx-74h],"rgb(67, 198, 198)"
ebx 15h,"rgb(67, 197, 199)"
esi 3Ch,"rgb(67, 196, 200)"
ebx [eax-28h],"rgb(66, 200, 197)"
[ecx] 8,"rgb(66, 199, 198)"
[edi+0BCh] ebx,"rgb(66, 198, 199)"
short loc_40129F,"rgb(66, 197, 200)"
eax [edi-2Ch],"rgb(65, 200, 198)"
call sub_401291,"rgb(65, 199, 199)"
short loc_401B0B,"rgb(65, 198, 200)"
eax [esi+1B8h],"rgb(64, 200, 199)"
call sub_401FB9,"rgb(64, 199, 200)"
ecx 90h,"rgb(98, 181, 183)"
ebx [esi+0A0h],"rgb(98, 180, 184)"
ebx [edi+68h],"rgb(97, 185, 180)"
ebx [edx+34h],"rgb(97, 184, 181)"
esi [ecx+0E4h],"rgb(97, 183, 182)"
short loc_401E87,"rgb(97, 182, 183)"
ebx [esi+19Ch],"rgb(97, 181, 184)"
short loc_407429,"rgb(97, 180, 185)"
ebx [ecx+50h],"rgb(96, 186, 180)"
esi 1Dh,"rgb(96, 185, 181)"
esi 5Ch,"rgb(96, 184, 182)"
ecx [esi+2A0h],"rgb(96, 183, 183)"
esi [ebx+34h],"rgb(96, 182, 184)"
call sub_4023E1,"rgb(96, 181, 185)"
call sub_401BE1,"rgb(96, 180, 186)"
short loc_401F3B,"rgb(95, 187, 180)"
esi [ebx-40h],"rgb(95, 186, 181)"
esi [ebx-2Ch],"rgb(95, 185, 182)"
ebx [edx+6Ch],"rgb(95, 184, 183)"
call sub_40136E,"rgb(95, 183, 184)"
esi [eax+0E0h],"rgb(95, 182, 185)"
esi 6Dh,"rgb(95, 181, 186)"
[ebp+var_2C] 3,"rgb(95, 180, 187)"
ptr [edi-94h],"rgb(94, 188, 180)"
ecx [ebx+60h],"rgb(94, 187, 181)"
ebx [edx+78h],"rgb(94, 186, 182)"
short loc_4019CF,"rgb(94, 185, 183)"
short loc_4019D4,"rgb(94, 184, 184)"
esi [edi+3Ch],"rgb(94, 183, 185)"
ebx [esi+34h],"rgb(94, 182, 186)"
short loc_401E57,"rgb(94, 181, 187)"
call sub_401A47,"rgb(94, 180, 188)"
[esp+20h+var_20] eax,"rgb(93, 189, 180)"
eax [ecx+0ACh],"rgb(93, 188, 181)"
eax [ecx+0B0h],"rgb(93, 187, 182)"
eax [ecx+0B8h],"rgb(93, 186, 183)"
edx [ecx-20h],"rgb(93, 185, 184)"
short loc_40826E,"rgb(93, 184, 185)"
eax 79h,"rgb(93, 183, 186)"
esi 6Eh,"rgb(93, 182, 187)"
ecx 54h,"rgb(93, 181, 188)"
short loc_4016D9,"rgb(93, 180, 189)"
short loc_4019D7,"rgb(92, 190, 180)"
call sub_40227B,"rgb(92, 189, 181)"
[ebp-54h] edi,"rgb(92, 188, 182)"
short loc_402148,"rgb(92, 187, 183)"
eax 0FFFFFFDBh,"rgb(92, 186, 184)"
ecx [esi+0D8h],"rgb(92, 185, 185)"
short loc_409025,"rgb(92, 184, 186)"
esi [ebp+var_68],"rgb(92, 183, 187)"
[edi+8] edx,"rgb(92, 182, 188)"
short loc_401791,"rgb(92, 181, 189)"
[edi+1Ch] edx,"rgb(92, 180, 190)"
edx 0E9h,"rgb(91, 191, 180)"
edx 0BEh,"rgb(91, 190, 181)"
eax [edx-0D0h],"rgb(91, 189, 182)"
call sub_40187F,"rgb(91, 188, 183)"
eax [edx-2Ch],"rgb(91, 187, 184)"
eax [edx-38h],"rgb(91, 186, 185)"
short loc_401647,"rgb(91, 185, 186)"
call sub_401F06,"rgb(91, 184, 187)"
esi [eax+68h],"rgb(91, 183, 188)"
call sub_4022AD,"rgb(91, 182, 189)"
short loc_4016A0,"rgb(91, 181, 190)"
short loc_401677,"rgb(91, 180, 191)"
short loc_4015C4,"rgb(90, 192, 180)"
ecx 33h,"rgb(90, 191, 181)"
call sub_402103,"rgb(90, 190, 182)"
call sub_401ED5,"rgb(90, 189, 183)"
short loc_401839,"rgb(90, 188, 184)"
ebx [esi+6Ch],"rgb(90, 187, 185)"
esi [edi+0A0h],"rgb(90, 186, 186)"
eax [ebx+0A4h],"rgb(90, 185, 187)"
eax [ebx+0B4h],"rgb(90, 184, 188)"
call sub_401ADD,"rgb(90, 183, 189)"
ecx [edx-16Ch],"rgb(90, 182, 190)"
edi [ebx+100h],"rgb(90, 181, 191)"
[ebp+var_10] 11h,"rgb(90, 180, 192)"
esi 0FFFFFFD0h,"rgb(89, 193, 180)"
short loc_4013A3,"rgb(89, 192, 181)"
short loc_401457,"rgb(89, 191, 182)"
short loc_401543,"rgb(89, 190, 183)"
ebx [esi+5Ch],"rgb(89, 189, 184)"
edx [esi+0A0h],"rgb(89, 188, 185)"
ptr [esi+204h],"rgb(89, 187, 186)"
edx [esi+9Ch],"rgb(89, 186, 187)"
esi [edi+2Ch],"rgb(89, 185, 188)"
[ebp+var_78] 2,"rgb(89, 184, 189)"
call sub_401B6D,"rgb(89, 183, 190)"
call sub_401B2D,"rgb(89, 182, 191)"
short loc_4018C5,"rgb(89, 181, 192)"
eax [ecx+0D8h],"rgb(89, 180, 193)"
short loc_401C7A,"rgb(88, 194, 180)"
short loc_401C64,"rgb(88, 193, 181)"
short loc_401228,"rgb(88, 192, 182)"
short loc_4011D1,"rgb(88, 191, 183)"
short loc_401E55,"rgb(88, 190, 184)"
ebx [eax+4Ch],"rgb(88, 189, 185)"
ebx [eax-0Ch],"rgb(88, 188, 186)"
ebx [eax+78h],"rgb(88, 187, 187)"
[ecx-64h] esi,"rgb(88, 186, 188)"
ebx [esi+0E0h],"rgb(88, 185, 189)"
call sub_401147,"rgb(88, 184, 190)"
call sub_4019E6,"rgb(88, 183, 191)"
[edx+14h] eax,"rgb(88, 182, 192)"
mov [eax+80h],"rgb(88, 181, 193)"
mov [eax+98h],"rgb(88, 180, 194)"
and [ebp-44h],"rgb(87, 195, 180)"
eax 8Eh,"rgb(87, 194, 181)"
short loc_401E2A,"rgb(87, 193, 182)"
short loc_40177B,"rgb(87, 192, 183)"
eax [ebx+1ACh],"rgb(87, 191, 184)"
esi [ecx+0BCh],"rgb(87, 190, 185)"
short loc_40148B,"rgb(87, 189, 186)"
eax [ebx-18h],"rgb(87, 188, 187)"
short loc_40105B,"rgb(87, 187, 188)"
edx [edi+90h],"rgb(87, 186, 189)"
ptr [ecx+204h],"rgb(87, 185, 190)"
edx [esi+80h],"rgb(87, 184, 191)"
edx [esi+8Ch],"rgb(87, 183, 192)"
mov [eax+4Ch],"rgb(87, 182, 193)"
edx [edi+84h],"rgb(87, 181, 194)"
call sub_402006,"rgb(87, 180, 195)"
ebx 11h,"rgb(86, 196, 180)"
short loc_40223F,"rgb(86, 195, 181)"
short loc_40119F,"rgb(86, 194, 182)"
edi [eax+48h],"rgb(86, 193, 183)"
short loc_40235B,"rgb(86, 192, 184)"
add [ebx-60h],"rgb(86, 191, 185)"
ebx 5Ch,"rgb(86, 190, 186)"
ecx 4Dh,"rgb(86, 189, 187)"
esi [edx+198h],"rgb(86, 188, 188)"
[esi+0D4h] eax,"rgb(86, 187, 189)"
edx [ebx+74h],"rgb(86, 186, 190)"
edi [eax+38h],"rgb(86, 185, 191)"
ebx [edx-10h],"rgb(86, 184, 192)"
call sub_4013E7,"rgb(86, 183, 193)"
call sub_401B71,"rgb(86, 182, 194)"
short loc_401DDB,"rgb(86, 181, 195)"
mov [ecx+6Ch],"rgb(86, 180, 196)"
call sub_4019F6,"rgb(85, 197, 180)"
call sub_4019E2,"rgb(85, 196, 181)"
[esi+0Ch] edx,"rgb(85, 195, 182)"
dw 48h,"rgb(85, 194, 183)"
call sub_401030,"rgb(85, 193, 184)"
short loc_401E02,"rgb(85, 192, 185)"
ebx [edi+88h],"rgb(85, 191, 186)"
edi [ebx+0D0h],"rgb(85, 190, 187)"
[ebp-1Ch] 10h,"rgb(85, 189, 188)"
eax 0FFFFFFA9h,"rgb(85, 188, 189)"
retn 40h,"rgb(85, 187, 190)"
edi [ecx+44h],"rgb(85, 186, 191)"
edi 11h,"rgb(85, 185, 192)"
call sub_40104F,"rgb(85, 184, 193)"
ecx [eax+84h],"rgb(85, 183, 194)"
[ebp+var_8] 4Eh,"rgb(85, 182, 195)"
edx [edi+5Ch],"rgb(85, 181, 196)"
dw 50h,"rgb(85, 180, 197)"
call sub_401C93,"rgb(84, 198, 180)"
[ebp+var_8] 1Fh,"rgb(84, 197, 181)"
mov [edx+50h],"rgb(84, 196, 182)"
short loc_40130F,"rgb(84, 195, 183)"
edi 15h,"rgb(84, 194, 184)"
short loc_4012B3,"rgb(84, 193, 185)"
