Term,RGB
push 9Bh,"rgb(100, 133, 103)"
eax 42h,"rgb(100, 132, 104)"
f2xm1,"rgb(100, 131, 105)"
eax 0A4h,"rgb(100, 130, 106)"
esi 0FFFFFF80h,"rgb(100, 129, 107)"
[esp+30h+var_18] eax,"rgb(100, 128, 108)"
[esp+40h+var_28] eax,"rgb(100, 127, 109)"
edi [ecx+18h],"rgb(100, 126, 110)"
U' 0,"rgb(100, 125, 111)"
mov [ebp+var_2A4],"rgb(100, 124, 112)"
[ebp+var_20] al,"rgb(100, 123, 113)"
[ebp+hWnd] 0,"rgb(100, 122, 114)"
ptr [ecx+1Ah],"rgb(100, 121, 115)"
dw 10Ah,"rgb(100, 120, 116)"
eax [eax+esi-1],"rgb(100, 119, 117)"
cmp [edi+28h],"rgb(100, 118, 118)"
mov [ecx+ebx],"rgb(100, 117, 119)"
[ebp+var_1B8] eax,"rgb(100, 116, 120)"
and [ebp+var_C0],"rgb(99, 140, 97)"
esi 40000000h,"rgb(99, 139, 98)"
[ebp+dwCreationDisposition] 3,"rgb(99, 138, 99)"
[esp+24h+var_4] bl,"rgb(99, 137, 100)"
call ds:fread,"rgb(99, 136, 101)"
dword_41683C 0,"rgb(99, 135, 102)"
[edi+eax] bl,"rgb(99, 134, 103)"
[ebp+1D4h+var_214] 0FFFFFFFFh,"rgb(99, 133, 104)"
[ebp+1D4h+var_230] 1,"rgb(99, 132, 105)"
[ebp+1D4h+var_214] edi,"rgb(99, 131, 106)"
mov [ebp+var_1AE0],"rgb(99, 130, 107)"
[esi+28h] 2,"rgb(99, 129, 108)"
eax [ebp+1],"rgb(99, 128, 109)"
ecx [ebp+var_F8],"rgb(99, 127, 110)"
short loc_10004F16,"rgb(99, 126, 111)"
eax ds:0[ebx*4],"rgb(99, 125, 112)"
ptr [ecx+1B4h],"rgb(99, 124, 113)"
call sub_40DE90,"rgb(99, 123, 114)"
rol ecx,"rgb(99, 122, 115)"
mov [esp+50h+var_2C],"rgb(99, 121, 116)"
ptr [ebp-1Ah],"rgb(99, 120, 117)"
ptr [esi+124h],"rgb(99, 119, 118)"
esi 9Ch,"rgb(99, 118, 119)"
dw 1B0h,"rgb(99, 117, 120)"
edi [ebp+lpFileName],"rgb(98, 140, 98)"
mov [esi+168h],"rgb(98, 139, 99)"
[esp+30h+var_4] ebx,"rgb(98, 138, 100)"
[ebx+1Ch] edx,"rgb(98, 137, 101)"
[ebp+1D4h+var_210] 40h,"rgb(98, 136, 102)"
[ebp+1D4h+var_210] 20h,"rgb(98, 135, 103)"
eax 18000h,"rgb(98, 134, 104)"
[esp+20h+var_10] ebx,"rgb(98, 133, 105)"
[edi+2] ax,"rgb(98, 132, 106)"
[eax+8] dl,"rgb(98, 131, 107)"
ecx [esp+0Ch+arg_10],"rgb(98, 130, 108)"
esi 3Ch,"rgb(98, 129, 109)"
[ebp+var_148] 0,"rgb(98, 128, 110)"
add [esi+1],"rgb(98, 127, 111)"
edx [edi+40h],"rgb(98, 126, 112)"
edi [ebp+1D4h+arg_0],"rgb(98, 125, 113)"
mov [ebp+1D4h+var_248],"rgb(98, 124, 114)"
[ebp+arg_0+3] 1,"rgb(98, 123, 115)"
mov [esp+9Ch+var_38],"rgb(98, 122, 116)"
short loc_1000714E,"rgb(98, 121, 117)"
[ebp+rc.right] eax,"rgb(98, 120, 118)"
push [ebp+1D4h+arg_0],"rgb(98, 119, 119)"
eax 0C9h,"rgb(98, 118, 120)"
ecx 0B4h,"rgb(97, 140, 99)"
edx [ebp+var_214],"rgb(97, 139, 100)"
[ebp+hWnd] edi,"rgb(97, 138, 101)"
[ebp+1D4h+var_210] 830h,"rgb(97, 137, 102)"
mov [ebp-11Ch],"rgb(97, 136, 103)"
cl 0,"rgb(97, 135, 104)"
[esi+94h] ebx,"rgb(97, 134, 105)"
ebx [ebp+1D4h+var_210],"rgb(97, 133, 106)"
dw 27h,"rgb(97, 132, 107)"
[ebp+var_134] 0,"rgb(97, 131, 108)"
mov [esi+0FCh],"rgb(97, 130, 109)"
eax 100Ch,"rgb(97, 129, 110)"
call sub_402AA0,"rgb(97, 128, 111)"
eax [esi+13Ch],"rgb(97, 127, 112)"
[ebp+String1] bl,"rgb(97, 126, 113)"
[edi+8] al,"rgb(97, 125, 114)"
[eax] esp,"rgb(97, 124, 115)"
esi [ecx-8],"rgb(97, 123, 116)"
[ebp+var_1EC] eax,"rgb(97, 122, 117)"
call ?MessageBoxA@CWnd@@QAEHPBD0I@Z,"rgb(97, 121, 118)"
esi 98h,"rgb(97, 120, 119)"
call sub_40C4AE,"rgb(97, 119, 120)"
short loc_408BB7,"rgb(96, 140, 100)"
comiss xmm0,"rgb(96, 139, 101)"
[ebp+var_20C] 0,"rgb(96, 138, 102)"
[esp+18h+var_8] ebp,"rgb(96, 137, 103)"
[ebp+1D4h+var_210+1] 2,"rgb(96, 136, 104)"
ebx [ebp-9Ch],"rgb(96, 135, 105)"
mov [ebp+FileName],"rgb(96, 134, 106)"
[ebp+1D4h+var_210+1] 1,"rgb(96, 133, 107)"
punpcklbw mm6,"rgb(96, 132, 108)"
[ebp+lpProcName] eax,"rgb(96, 131, 109)"
setnl bl,"rgb(96, 130, 110)"
di dx,"rgb(96, 129, 111)"
esi [esi+34h],"rgb(96, 128, 112)"
edx [ebx+50h],"rgb(96, 127, 113)"
cmp [ebp+var_214],"rgb(96, 126, 114)"
ecx [esp+4Ch+var_1C],"rgb(96, 125, 115)"
ecx [esp+54h+var_34],"rgb(96, 124, 116)"
edx [esp+1Ch+hWndParent],"rgb(96, 123, 117)"
eax 80070005h,"rgb(96, 122, 118)"
ptr [esp+3Ch],"rgb(96, 121, 119)"
edx [ebp+var_120],"rgb(96, 120, 120)"
[ebp+wParam] edi,"rgb(95, 140, 101)"
cmp dword_4141AC,"rgb(95, 139, 102)"
mov [ebp+var_2D4],"rgb(95, 138, 103)"
eax dword_416834,"rgb(95, 137, 104)"
edi [ebp+var_74],"rgb(95, 136, 105)"
[ebp+lParam] 0,"rgb(95, 135, 106)"
edi [esi-5Ch],"rgb(95, 134, 107)"
esi 44h,"rgb(95, 133, 108)"
mul [ebp+arg_8],"rgb(95, 132, 109)"
[ebp+var_174] edx,"rgb(95, 131, 110)"
mov [eax+esi+4],"rgb(95, 130, 111)"
[ebp+1D4h+var_238] 1,"rgb(95, 129, 112)"
eax 80020003h,"rgb(95, 128, 113)"
ptr [esp+1Ch+arg_0],"rgb(95, 127, 114)"
or [ebp+1D4h+var_214],"rgb(95, 126, 115)"
mov [ebp+WndClass.hbrBackground],"rgb(95, 125, 116)"
esp 154h,"rgb(95, 124, 117)"
ebx 25h,"rgb(95, 123, 118)"
ptr [esi+1Ah],"rgb(95, 122, 119)"
call sub_40F12C,"rgb(95, 121, 120)"
eax [ebp-134h],"rgb(94, 140, 102)"
[edx+18h] ecx,"rgb(94, 139, 103)"
[edx+2Ch] 0,"rgb(94, 138, 104)"
eax 1FFFFh,"rgb(94, 137, 105)"
mov [eax+0B0h],"rgb(94, 136, 106)"
[esi+24h] 10h,"rgb(94, 135, 107)"
eax [esi+16Ch],"rgb(94, 134, 108)"
[esi+98h] ebx,"rgb(94, 133, 109)"
[ebx+18h] edi,"rgb(94, 132, 110)"
[esp+0BCh+var_B4] edx,"rgb(94, 131, 111)"
[ebp+phkResult] eax,"rgb(94, 130, 112)"
ax 5,"rgb(94, 129, 113)"
eax 198h,"rgb(94, 128, 114)"
short loc_4030D4,"rgb(94, 127, 115)"
jmp ds:HeapAlloc,"rgb(94, 126, 116)"
edx [esp+50h],"rgb(94, 125, 117)"
[eax+0Ch] 0FFFFFFFFh,"rgb(94, 124, 118)"
dw 9Ah,"rgb(94, 123, 119)"
[ecx+2] ax,"rgb(94, 122, 120)"
[esp+0BCh+var_B8] edx,"rgb(93, 140, 103)"
[esp+8+var_8] offset,"rgb(93, 139, 104)"
ecx [edi+68h],"rgb(93, 138, 105)"
[esp+20h+var_4] ebp,"rgb(93, 137, 106)"
[esi+24h] edx,"rgb(93, 136, 107)"
esp 170h,"rgb(93, 135, 108)"
eax 109h,"rgb(93, 134, 109)"
mov [esp+0E8h+var_BC],"rgb(93, 133, 110)"
short loc_10001B10,"rgb(93, 132, 111)"
[ecx+edx*2] ax,"rgb(93, 131, 112)"
short loc_100018E7,"rgb(93, 130, 113)"
[ebp+var_1ABC] eax,"rgb(93, 129, 114)"
edi [ebp-44h],"rgb(93, 128, 115)"
call ds:GetTextExtentPointA,"rgb(93, 127, 116)"
fild [ebp+var_8],"rgb(93, 126, 117)"
mov [esp+44h],"rgb(93, 125, 118)"
[edi+24h] 0,"rgb(93, 124, 119)"
ecx 0ECh,"rgb(93, 123, 120)"
ebx [ebx+14h],"rgb(92, 140, 104)"
ptr [ebp+String1],"rgb(92, 139, 105)"
ecx [ebp-18Ch],"rgb(92, 138, 106)"
eax [ebp+1D4h+var_21C],"rgb(92, 137, 107)"
esp 15Ch,"rgb(92, 136, 108)"
[eax+90h] ecx,"rgb(92, 135, 109)"
call [ebp+var_28],"rgb(92, 134, 110)"
[ebp+var_20] 40h,"rgb(92, 133, 111)"
inc [ebp+var_34],"rgb(92, 132, 112)"
eax [ebp+lpAddress],"rgb(92, 131, 113)"
dx 0Dh,"rgb(92, 130, 114)"
short loc_401FF7,"rgb(92, 129, 115)"
bx [esi],"rgb(92, 128, 116)"
[esp+3Ch+var_4] 3,"rgb(92, 127, 117)"
dw 14Dh,"rgb(92, 126, 118)"
offset aPath,"rgb(92, 125, 119)"
dw 2Ch,"rgb(92, 124, 120)"
eax [ebp+1D4h+MultiByteStr],"rgb(91, 140, 105)"
call sub_4054F0,"rgb(91, 139, 106)"
[ebp+var_7C] edx,"rgb(91, 138, 107)"
ecx 3000000h,"rgb(91, 137, 108)"
ecx [eax+0F8h],"rgb(91, 136, 109)"
mov [ecx+ebx*4],"rgb(91, 135, 110)"
ptr [ebx+15h],"rgb(91, 134, 111)"
jmp ds:LeaveCriticalSection,"rgb(91, 133, 112)"
fsubr [ebp+var_10],"rgb(91, 132, 113)"
ecx 40000h,"rgb(91, 131, 114)"
ptr [eax-7],"rgb(91, 130, 115)"
ecx 4D10h,"rgb(91, 129, 116)"
[ebp-80h] edi,"rgb(91, 128, 117)"
ecx [esp+50h+var_40],"rgb(91, 127, 118)"
mov [ecx+esi+5],"rgb(91, 126, 119)"
[ebp+var_5] 1,"rgb(91, 125, 120)"
[esp+30h+var_20] eax,"rgb(90, 140, 106)"
eax [ebp+var_32],"rgb(90, 139, 107)"
al [ebp+var_5],"rgb(90, 138, 108)"
db 0C7h,"rgb(90, 137, 109)"
short loc_404C29,"rgb(90, 136, 110)"
ecx [esp+4+arg_10],"rgb(90, 135, 111)"
eax [ebp+var_194],"rgb(90, 134, 112)"
ecx [esp+4Ch+var_40],"rgb(90, 133, 113)"
ecx [esp+50h+var_24],"rgb(90, 132, 114)"
edx 82h,"rgb(90, 131, 115)"
[ebp+var_30] ax,"rgb(90, 130, 116)"
ecx [ecx+esi-30h],"rgb(90, 129, 117)"
cmp [ebp+var_210],"rgb(90, 128, 118)"
ptr [esi+23h],"rgb(90, 127, 119)"
call sub_10001150,"rgb(90, 126, 120)"
ebx [ebp-10h],"rgb(120, 125, 90)"
edx 3000000h,"rgb(120, 124, 91)"
cl 3Fh,"rgb(120, 123, 92)"
[ebp+var_74] 8000h,"rgb(120, 122, 93)"
add [eax+4],"rgb(120, 121, 94)"
[ebx+24h] edi,"rgb(120, 120, 95)"
[ebp+var_16C8] 0,"rgb(120, 119, 96)"
[ebp+var_54] 2,"rgb(120, 118, 97)"
dl 77h,"rgb(120, 117, 98)"
shr [ebp+var_24],"rgb(120, 116, 99)"
shr [ebp+var_1A+2],"rgb(120, 115, 100)"
mov [ebp-424h],"rgb(120, 114, 101)"
ebx [esp+18h+arg_10],"rgb(120, 113, 102)"
mov [ebp+var_1DC],"rgb(120, 112, 103)"
[esi+74h] edi,"rgb(120, 111, 104)"
ecx [eax+edx*4+38h],"rgb(120, 110, 105)"
ecx [eax+8Ch],"rgb(119, 126, 90)"
[ebp+var_16+1] 0,"rgb(119, 125, 91)"
push [esp+lpString2],"rgb(119, 124, 92)"
edi [ecx+eax],"rgb(119, 123, 93)"
hInstance eax,"rgb(119, 122, 94)"
ptr [ebp-0E0h],"rgb(119, 121, 95)"
[ebp-14h] 4,"rgb(119, 120, 96)"
eax [ebp+var_26C],"rgb(119, 119, 97)"
edx [ebp+var_38+2],"rgb(119, 118, 98)"
[ebp+var_12] cx,"rgb(119, 117, 99)"
[esp+38h+var_30] eax,"rgb(119, 116, 100)"
ptr [edi+0Dh],"rgb(119, 115, 101)"
ecx 5Dh,"rgb(119, 114, 102)"
dec [ebp+var_46],"rgb(119, 113, 103)"
dec [ebp+var_3C+2],"rgb(119, 112, 104)"
al [eax+24h],"rgb(119, 111, 105)"
inc [ebp+var_58],"rgb(119, 110, 106)"
eax 0E0h,"rgb(118, 127, 90)"
inc [ebp+var_2C+2],"rgb(118, 126, 91)"
inc [ebp+var_28+2],"rgb(118, 125, 92)"
eax [eax+ecx-134312F4h],"rgb(118, 124, 93)"
push [ebp+var_42C],"rgb(118, 123, 94)"
short loc_100019B4,"rgb(118, 122, 95)"
[esi] 2Bh,"rgb(118, 121, 96)"
si word,"rgb(118, 120, 97)"
[edi-2] al,"rgb(118, 119, 98)"
[ebp+var_170] edx,"rgb(118, 118, 99)"
esi [esp+8+arg_C],"rgb(118, 117, 100)"
mov [ebp+var_464],"rgb(118, 116, 101)"
edx [ebp+var_1A+2],"rgb(118, 115, 102)"
eax 80000001h,"rgb(118, 114, 103)"
[edi+10h] 3,"rgb(118, 113, 104)"
[eax] bp,"rgb(118, 112, 105)"
short loc_40280F,"rgb(118, 111, 106)"
edi [esp+0Ch+arg_C],"rgb(118, 110, 107)"
mov [ebp+rc.left],"rgb(117, 128, 90)"
[ebp+var_110] ebx,"rgb(117, 127, 91)"
sub [ebp+var_48],"rgb(117, 126, 92)"
call sub_403410,"rgb(117, 125, 93)"
eax [ebp-328h],"rgb(117, 124, 94)"
mov [ebp+var_3C+2],"rgb(117, 123, 95)"
[ebp+14h] 0FFFFFFFFh,"rgb(117, 122, 96)"
edi [ebx+68h],"rgb(117, 121, 97)"
add [ebp+var_104],"rgb(117, 120, 98)"
[ecx+14h] esi,"rgb(117, 119, 99)"
[esi+0C0h] ebx,"rgb(117, 118, 100)"
mov [ebp+var_2C4],"rgb(117, 117, 101)"
push [ebp+var_200C],"rgb(117, 116, 102)"
call ds:PostThreadMessageA,"rgb(117, 115, 103)"
[ebp+var_244] 0,"rgb(117, 114, 104)"
mov [ebp+var_830],"rgb(117, 113, 105)"
[ebp+var_210] 1,"rgb(117, 112, 106)"
dw 6,"rgb(117, 111, 107)"
edi [ebp+var_110],"rgb(117, 110, 108)"
edi [edi+ecx*4],"rgb(116, 129, 90)"
esi 2Bh,"rgb(116, 128, 91)"
dd 1Eh,"rgb(116, 127, 92)"
short loc_401F2A,"rgb(116, 126, 93)"
[ebp+var_68] ebx,"rgb(116, 125, 94)"
edx [esi+edx],"rgb(116, 124, 95)"
sar [ebp+var_54],"rgb(116, 123, 96)"
[ebp+var_8] 0F0000h,"rgb(116, 122, 97)"
cmp [eax+38h],"rgb(116, 121, 98)"
mov [ebp+var_480],"rgb(116, 120, 99)"
eax 0F8h,"rgb(116, 119, 100)"
eax [ebp+LocalFileTime],"rgb(116, 118, 101)"
ecx [edi-2],"rgb(116, 117, 102)"
jmp ds:_except_handler3,"rgb(116, 116, 103)"
cx [edi+2],"rgb(116, 115, 104)"
short loc_402377,"rgb(116, 114, 105)"
eax 83h,"rgb(116, 113, 106)"
mov [ebp+Y],"rgb(116, 112, 107)"
[ebp+var_178] edx,"rgb(116, 111, 108)"
short loc_100059E0,"rgb(116, 110, 109)"
[eax+5Ch] edx,"rgb(115, 130, 90)"
mov [ebp+var_38+2],"rgb(115, 129, 91)"
rol cl,"rgb(115, 128, 92)"
[eax+38h] ebx,"rgb(115, 127, 93)"
esi [esp+10h+arg_C],"rgb(115, 126, 94)"
edx [esi+74h],"rgb(115, 125, 95)"
edi [esp+1B8h+Filename],"rgb(115, 124, 96)"
push 11Ch,"rgb(115, 123, 97)"
ecx [esi+108h],"rgb(115, 122, 98)"
mov [ebp+WndClass.hCursor],"rgb(115, 121, 99)"
call ds:__imp__CreateThread@24,"rgb(115, 120, 100)"
ebx [esi+54h],"rgb(115, 119, 101)"
mov [ebp+lpName],"rgb(115, 118, 102)"
cmp [ebp+var_264],"rgb(115, 117, 103)"
ptr [edx+74h],"rgb(115, 116, 104)"
[ebp+var_30] 8,"rgb(115, 115, 105)"
or si,"rgb(115, 114, 106)"
short loc_10002B94,"rgb(115, 113, 107)"
call sub_4045C0,"rgb(115, 112, 108)"
[ebx+8] 7FFFFFFFh,"rgb(115, 111, 109)"
[ebp+var_14] 3FEh,"rgb(115, 110, 110)"
[ebp+var_14] 3FFh,"rgb(114, 131, 90)"
[esi+3] al,"rgb(114, 130, 91)"
[ebx+10h] ecx,"rgb(114, 129, 92)"
[ebp+18h] edi,"rgb(114, 128, 93)"
[edx+8] 1,"rgb(114, 127, 94)"
[ebp+var_20+2] edi,"rgb(114, 126, 95)"
ptr [ecx+400h],"rgb(114, 125, 96)"
[ebx+eax] cl,"rgb(114, 124, 97)"
[ebp+var_108] 1,"rgb(114, 123, 98)"
[edi+3Ch] eax,"rgb(114, 122, 99)"
ptr [ecx-1Dh],"rgb(114, 121, 100)"
eax [ebp+34h],"rgb(114, 120, 101)"
ecx [ebp-244h],"rgb(114, 119, 102)"
push [ebp+var_414],"rgb(114, 118, 103)"
[ebp+var_28+2] 0FFFFFFFFh,"rgb(114, 117, 104)"
ecx [ebx-10h],"rgb(114, 116, 105)"
mov [esp+154h+var_13C],"rgb(114, 115, 106)"
mov [esp+2Ch+arg_0],"rgb(114, 114, 107)"
[ebp-94h] edx,"rgb(114, 113, 108)"
10000h 0,"rgb(114, 112, 109)"
call sub_403F18,"rgb(114, 111, 110)"
call ds:GetVersionExW,"rgb(114, 110, 111)"
[ebp+1F8h+var_210] 8,"rgb(113, 132, 90)"
[edi+ecx] dl,"rgb(113, 131, 91)"
push [ebp+dwErrCode],"rgb(113, 130, 92)"
edi 80000002h,"rgb(113, 129, 93)"
[esp+68h+var_50] eax,"rgb(113, 128, 94)"
edi [ebp+lpMultiByteStr],"rgb(113, 127, 95)"
ebx [edx+1],"rgb(113, 126, 96)"
mov [esi+668h],"rgb(113, 125, 97)"
[ecx+esi+4] 1,"rgb(113, 124, 98)"
esi 3000000h,"rgb(113, 123, 99)"
esi 8000FFFFh,"rgb(113, 122, 100)"
eax [eax+esi*8+4],"rgb(113, 121, 101)"
ptr [ebx+0A4h],"rgb(113, 120, 102)"
and [ebp+var_28+2],"rgb(113, 119, 103)"
and [ebp+var_2C+2],"rgb(113, 118, 104)"
push 110Ah,"rgb(113, 117, 105)"
[esi+0BCh] edi,"rgb(113, 116, 106)"
call ds:WriteConsoleA,"rgb(113, 115, 107)"
push small,"rgb(113, 114, 108)"
[esp+14h] edx,"rgb(113, 113, 109)"
eax [ebp-12Ch],"rgb(113, 112, 110)"
dw 4Fh,"rgb(113, 111, 111)"
ecx 1451h,"rgb(113, 110, 112)"
ecx 1450h,"rgb(112, 133, 90)"
ecx 0FFFFFFFBh,"rgb(112, 132, 91)"
[ebp+var_4E] dx,"rgb(112, 131, 92)"
dd 0C0007h,"rgb(112, 130, 93)"
bl 63h,"rgb(112, 129, 94)"
mov [ebx+98h],"rgb(112, 128, 95)"
call ds:CheckDlgButton,"rgb(112, 127, 96)"
[ebp+var_28] 7FFFFFFFh,"rgb(112, 126, 97)"
ebp [edi+14h],"rgb(112, 125, 98)"
ebx ds:wsprintfA,"rgb(112, 124, 99)"
[ebp+var_A] dx,"rgb(112, 123, 100)"
eax 0C2h,"rgb(112, 122, 101)"
mov [esi+674h],"rgb(112, 121, 102)"
[ebp+var_294] eax,"rgb(112, 120, 103)"
mov [esi+eax+8],"rgb(112, 119, 104)"
[ebp+var_4] 21h,"rgb(112, 118, 105)"
[ebp-28h] 1,"rgb(112, 117, 106)"
dw 6Ch,"rgb(112, 116, 107)"
[ebp+var_2C+2] 0FFFFFFFFh,"rgb(112, 115, 108)"
cmp [ebp+var_2C+2],"rgb(112, 114, 109)"
cmp [ebp+var_28+2],"rgb(112, 113, 110)"
ptr [eax+258h],"rgb(112, 112, 111)"
call ds:CreateEventW,"rgb(112, 111, 112)"
call sub_403F26,"rgb(112, 110, 113)"
call ds:GetMenuItemCount,"rgb(111, 134, 90)"
[ebp+1F8h+var_260] eax,"rgb(111, 133, 91)"
jmp ds:fclose,"rgb(111, 132, 92)"
[edi-4] esi,"rgb(111, 131, 93)"
dw 236h,"rgb(111, 130, 94)"
push [esp+8+arg_C],"rgb(111, 129, 95)"
edi [esi+0A8h],"rgb(111, 128, 96)"
push 0CFh,"rgb(111, 127, 97)"
ebx [esi+40h],"rgb(111, 126, 98)"
dw 458Bh,"rgb(111, 125, 99)"
[esp+34h+var_14] esp,"rgb(111, 124, 100)"
ecx [ebp-100h],"rgb(111, 123, 101)"
[esp+14h+var_4] 3,"rgb(111, 122, 102)"
ptr [edi+esi*4],"rgb(111, 121, 103)"
[esp+0ACh+var_A4] eax,"rgb(111, 120, 104)"
mov [ecx+9],"rgb(111, 119, 105)"
mov [ecx+0A8h],"rgb(111, 118, 106)"
mov [esp+0ECh+var_E0],"rgb(111, 117, 107)"
esi [ebp+var_3C+2],"rgb(111, 116, 108)"
[esp+18h+arg_0] ecx,"rgb(111, 115, 109)"
eax ds:0[esi*4],"rgb(111, 114, 110)"
[esp+3Ch+var_10] eax,"rgb(111, 113, 111)"
bl 2Ch,"rgb(111, 112, 112)"
esi 15Dh,"rgb(111, 111, 113)"
ebx [esp+8],"rgb(111, 110, 114)"
push 40000h,"rgb(110, 135, 90)"
cx [ebx+0Ah],"rgb(110, 134, 91)"
[ebp+var_1A+2] esi,"rgb(110, 133, 92)"
[ebp+var_1A+2] 1,"rgb(110, 132, 93)"
mov [ebp+WndClass.style],"rgb(110, 131, 94)"
ecx [esi+134h],"rgb(110, 130, 95)"
[ebp-34h] 7FFFFFFFh,"rgb(110, 129, 96)"
offset aP,"rgb(110, 128, 97)"
[ebp+var_1A] esi,"rgb(110, 127, 98)"
call sub_10005420,"rgb(110, 126, 99)"
mov [esi+16h],"rgb(110, 125, 100)"
[edx+5] 0,"rgb(110, 124, 101)"
esp 304h,"rgb(110, 123, 102)"
eax [edx+ebx*4],"rgb(110, 122, 103)"
[ebp+var_4C] 0FFFFFFFFh,"rgb(110, 121, 104)"
bl 43h,"rgb(110, 120, 105)"
esi [ebp+var_1A+2],"rgb(110, 119, 106)"
jmp ds:WriteFile,"rgb(110, 118, 107)"
ecx [ebp+var_1A+2],"rgb(110, 117, 108)"
ptr [ebp+var_16+1],"rgb(110, 116, 109)"
jmp ds:WaitForSingleObject,"rgb(110, 115, 110)"
[ebx+2Ch] edx,"rgb(110, 114, 111)"
ecx [esp+54h+var_40],"rgb(110, 113, 112)"
bl 61h,"rgb(110, 112, 113)"
offset aFalse,"rgb(110, 111, 114)"
call ds:LoadBitmapA,"rgb(110, 110, 115)"
call ds:htonl,"rgb(109, 136, 90)"
ecx [esp+34h+lParam],"rgb(109, 135, 91)"
0Bh 0,"rgb(109, 134, 92)"
[ebp+var_130] 0,"rgb(109, 133, 93)"
[esi+90h] 0,"rgb(109, 132, 94)"
[ebx] 4,"rgb(109, 131, 95)"
mov [ebp+nBufferLength],"rgb(109, 130, 96)"
ptr [ebx+0BCh],"rgb(109, 129, 97)"
mov [ebp+var_39C],"rgb(109, 128, 98)"
mov [esi+1B0h],"rgb(109, 127, 99)"
and [esi+8],"rgb(109, 126, 100)"
[esp+20h+arg_0] esi,"rgb(109, 125, 101)"
[ebp-50h] edx,"rgb(109, 124, 102)"
ptr [eax+17h],"rgb(109, 123, 103)"
[esp+3Ch+var_4] 2,"rgb(109, 122, 104)"
short loc_100050B7,"rgb(109, 121, 105)"
call [ebp+var_40],"rgb(109, 120, 106)"
ecx [edi+70h],"rgb(109, 119, 107)"
dl 41h,"rgb(109, 118, 108)"
sub [ebp+var_44],"rgb(109, 117, 109)"
eax [esp+3Ch+var_1C],"rgb(109, 116, 110)"
[ebx+edi*4] edx,"rgb(109, 115, 111)"
edx [esp+38h+var_20],"rgb(109, 114, 112)"
dw 1B2h,"rgb(109, 113, 113)"
[esi+eax*4] edx,"rgb(109, 112, 114)"
ecx 61h,"rgb(109, 111, 115)"
short loc_401086,"rgb(109, 110, 116)"
mov [esp+0FCh+var_D0],"rgb(108, 137, 90)"
[esi+6] al,"rgb(108, 136, 91)"
eax ds:TlsSetValue,"rgb(108, 135, 92)"
[ebp+var_1B0] eax,"rgb(108, 134, 93)"
esi [ebp-58h],"rgb(108, 133, 94)"
eax [esi+edx*4],"rgb(108, 132, 95)"
mov [eax+208h],"rgb(108, 131, 96)"
esi 80004002h,"rgb(108, 130, 97)"
push 20Bh,"rgb(108, 129, 98)"
and [ebp+var_214],"rgb(108, 128, 99)"
eax [ebx+98h],"rgb(108, 127, 100)"
ecx [esi-34h],"rgb(108, 126, 101)"
esi [ecx+34h],"rgb(108, 125, 102)"
[eax+edx] ebx,"rgb(108, 124, 103)"
[esp+34h+var_20] eax,"rgb(108, 123, 104)"
[esp+30h+var_1C] eax,"rgb(108, 122, 105)"
dw 0A1h,"rgb(108, 121, 106)"
mov [esp+70h+var_5C],"rgb(108, 120, 107)"
[ecx+eax] esi,"rgb(108, 119, 108)"
40002h 0,"rgb(108, 118, 109)"
esi [ebp+var_8C],"rgb(108, 117, 110)"
short loc_4068E4,"rgb(108, 116, 111)"
mov [esp+0BCh+var_A8],"rgb(108, 115, 112)"
ptr [edi+0C4h],"rgb(108, 114, 113)"
short loc_10006832,"rgb(108, 113, 114)"
[esi+58h] 1,"rgb(108, 112, 115)"
[ebp+0Bh] bl,"rgb(108, 111, 116)"
edx [esi+8Ch],"rgb(108, 110, 117)"
mov [ebp-114h],"rgb(107, 138, 90)"
push 14Ah,"rgb(107, 137, 91)"
mov [esp+78h+var_60],"rgb(107, 136, 92)"
[ebp+var_224] 0,"rgb(107, 135, 93)"
ecx [ebp+var_A38],"rgb(107, 134, 94)"
[esp+5Ch+var_4] 1,"rgb(107, 133, 95)"
eax [esi+20Ch],"rgb(107, 132, 96)"
eax [ebx+0DCh],"rgb(107, 131, 97)"
mov [esp+9Ch+var_74],"rgb(107, 130, 98)"
[edi+2Ch] ebx,"rgb(107, 129, 99)"
dec [ebp+var_3C],"rgb(107, 128, 100)"
ecx 10Ch,"rgb(107, 127, 101)"
push 210h,"rgb(107, 126, 102)"
cmp [ebp+arg_30],"rgb(107, 125, 103)"
[ebp-70h] ecx,"rgb(107, 124, 104)"
esi [eax+edx*4],"rgb(107, 123, 105)"
eax 1388h,"rgb(107, 122, 106)"
call sub_4040C0,"rgb(107, 121, 107)"
mov [ebx+0A8h],"rgb(107, 120, 108)"
push 14Bh,"rgb(107, 119, 109)"
[ecx+34h] edx,"rgb(107, 118, 110)"
mov [ebp-0C4h],"rgb(107, 117, 111)"
[ebp-0A0h] edx,"rgb(107, 116, 112)"
eax [esp+0BCh+var_34],"rgb(107, 115, 113)"
cmp [esp+20h+arg_4],"rgb(107, 114, 114)"
eax [ebp+RootPathName],"rgb(107, 113, 115)"
jz loc_40218A,"rgb(107, 112, 116)"
[ecx+4] 2,"rgb(107, 111, 117)"
[esp+30h+var_4] 3,"rgb(107, 110, 118)"
edx [ebp+var_118],"rgb(106, 139, 90)"
short loc_4023D0,"rgb(106, 138, 91)"
cmp [edx+10h],"rgb(106, 137, 92)"
